<button class="sort" onclick="sortTable(0)"><img class="sort" src="media/sort.png"></button>Sample	<button class="sort" onclick="sortTable(1)"><img class="sort" src="media/sort.png"></button>Class	<button class="sort" onclick="sortTable(2)"><img class="sort" src="media/sort.png"></button>Type	<button class="sort" onclick="sortTable(3)"><img class="sort" src="media/sort.png"></button>OS	<button class="sort" onclick="sortTable(4)"><img class="sort" src="media/sort.png"></button>T [K] 	<button class="sort" onclick="sortTable(5)"><img class="sort" src="media/sort.png"></button>IS [mm/s] 	&plusmn;	<button class="sort" onclick="sortTable(7)"><img class="sort" src="media/sort.png"></button>QS [mm/s]	&plusmn;	<button class="sort" onclick="sortTable(9)"><img class="sort" src="media/sort.png"></button>B<sub>hf</sub> [T]	&plusmn;	Site<sub>(Total)</sub>	Model	Reference
Smectite	Phyllosilicate	U	2	295	1.06	0.01	2.91	0.09			1<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Smectite	Phyllosilicate	U	2	295	1.08	0.05	2.56	0.05			2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Smectite	Phyllosilicate	U	3	295	0.39	0.03	0.72	0.1			3<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Smectite	Phyllosilicate	U	3	295	0.3	0.01	0.39	0.03			4<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Montmorillonite	Phyllosilicate	U	2	295	1.14	0.03	2.88	0.02			1<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Montmorillonite	Phyllosilicate	U	2	295	1.27	0.06	2.43	0.04			2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Montmorillonite	Phyllosilicate	U	3	295	0.37	0.04	0.79	0.09			3<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Montmorillonite	Phyllosilicate	U	3	295	0.37	0.06	0.39	0.08			4<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Nontronite	Phyllosilicate	U	2	295	1.34	0.05	2.28	0.05			1<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Nontronite	Phyllosilicate	U	3	295	0.44	0.06	0.66	0.05			2<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Nontronite	Phyllosilicate	U	3	295	0.42	0.06	0.39	0.05			3<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Hectorite	Phyllosilicate	U	3	295	0.36		0.77				1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Bedeillite	Phyllosilicate	U	2	295	1	0.05	2.61	0.05			1<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Bedeillite	Phyllosilicate	U	3	295	0.36		0.88				2<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Bedeillite	Phyllosilicate	U	3	295	0.36		0.46				3<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Vermiculite	Phyllosilicate	U	2	295	1.04	0.5	2.9	0.05			1<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Vermiculite	Phyllosilicate	U	2	295	1.12	0.05	2.52	0.05			2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Vermiculite	Phyllosilicate	U	3	295	0.4	0.05	0.98	0.05			3<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Vermiculite	Phyllosilicate	U	3	295	0.36	0.05	0.46	0.05			4<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Saponite	Phyllosilicate	U	2	295	1.18	0.05	2.7	0.05			1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Saponite	Phyllosilicate	U	2	295	1.2	0.05	2.4	0.05			2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Griffitite	Phyllosilicate	U	2	295	1.2	0.05	2.6	0.05			1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Kaolinite	Phyllosilicate	U	2	295	1.13	0.05	2.53	0.05			1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Kaolinite	Phyllosilicate	U	3	295	0.36	0.02	0.49	0.02			2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Dickite	Phyllosilicate	U	3	295	0.51	0.05	0.56	0.05			1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Narcite	Phyllosilicate	U	2	295	0.99	0.05	2.5	0.05			1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Narcite	Phyllosilicate	U	3	295	0.42	0.05	0.54	0.05			2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Illite	Phyllosilicate	U	2	295	1.15	0.04	2.79	0.09			1<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Illite	Phyllosilicate	U	2	295	1.06	0.14	2.39	0.1			2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Illite	Phyllosilicate	U	3	295	0.38	0.05	0.97	0.06			3<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Illite	Phyllosilicate	U	3	295	0.36	0.02	0.52	0.03			4<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
margarite	Phyllosilicate	U	2	295	1.1	0.05	2.37	0.05			1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
margarite	Phyllosilicate	U	3	295	0.4	0.05	0.65	0.05			2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Xanthophyllite	Phyllosilicate	U	2	295	1.14	0.05	2.48	0.05			1<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Xanthophyllite	Phyllosilicate	U	2	295	1.3	0.05	2.06	0.05			2<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Xanthophyllite	Phyllosilicate	U	3	295	0.4	0.05	0.65	0.05			3<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Seybertite	Phyllosilicate	U	2	295	1.1	0.05	2.45	0.05			1<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Seybertite	Phyllosilicate	U	2	295	1.08	0.05	1.89	0.05			2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Seybertite	Phyllosilicate	U	3	295	0.26	0.05	0.67	0.07			3<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Seybertite	Phyllosilicate	U	3	295	0.28	0.05	0.41	0.05			4<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Minnesotaite	Phyllosilicate	U	2	295	1.15	0.05	2.1	0.05			1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Stilpomlane	Phyllosilicate	U	2	295	1.2	0.05	2.4	0.05			1<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Stilpomlane	Phyllosilicate	U	3	295	0.42	0.05	0.73	0.05			2<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Stilpomlane	Phyllosilicate	U	3	295	0.45	0.05	0.47	0.05			3<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Gillespite	Phyllosilicate	U	3	295	0.66	0.05	0.51	0.05			1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Fanaskite	Phyllosilicate	U	2	295	1.15	0.05	2.56	0.05			1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Fanaskite	Phyllosilicate	U	3	295	0.41	0.05	0.31	0.05			2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Talc	Phyllosilicate	U	2	295	1.07	0.05	2.62	0.05			1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Talc	Phyllosilicate	U	3	295	0.6	0.05	0.45	0.05			2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Halloysite	Phyllosilicate	U	2	295	1.19	0.05	1.09	0.05			1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Halloysite	Phyllosilicate	U	3	295	0.46	0.05	1.29	0.05			2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Allophane	Phyllosilicate	U	3	295	0.41	0.05	1.08	0.05			1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Allophane	Phyllosilicate	U	3	295	0.38	0.06	0.65	0.05			2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02399439" target="_blank">Pollak and Stevens 1986</a>
Green Rust (Cl)	Hydroxides and Oxides containing hydroxyl	S	2	78	1.26		2.8				1<sub>(3)</sub>	Lor	<a href="http://pubs.acs.org/doi/abs/10.1021/es970547m" target="_blank">Genin et al. 1998</a>
Green Rust (Cl)	Hydroxides and Oxides containing hydroxyl	S	3	78	1.27		2.55				2<sub>(3)</sub>	Lor	<a href="http://pubs.acs.org/doi/abs/10.1021/es970547m" target="_blank">Genin et al. 1998</a>
Green Rust (Cl)	Hydroxides and Oxides containing hydroxyl	S	2	78	0.48		0.38				3<sub>(3)</sub>	Lor	<a href="http://pubs.acs.org/doi/abs/10.1021/es970547m" target="_blank">Genin et al. 1998</a>
Green Rust (SO42-)	Hydroxides and Oxides containing hydroxyl	S	3	78	1.27		2.88				1<sub>(2)</sub>	Lor	<a href="http://pubs.acs.org/doi/abs/10.1021/es970547m" target="_blank">Genin et al. 1998</a>
Green Rust (SO42-)	Hydroxides and Oxides containing hydroxyl	S	2	78	0.47		0.44				2<sub>(2)</sub>	Lor	<a href="http://pubs.acs.org/doi/abs/10.1021/es970547m" target="_blank">Genin et al. 1998</a>
Green Rust (CO32-)	Hydroxides and Oxides containing hydroxyl	S	2	78	1.27		2.93				1<sub>(3)</sub>	Lor	<a href="http://pubs.acs.org/doi/abs/10.1021/es970547m" target="_blank">Genin et al. 1998</a>
Green Rust (CO32-)	Hydroxides and Oxides containing hydroxyl	S	3	78	1.28		2.64				2<sub>(3)</sub>	Lor	<a href="http://pubs.acs.org/doi/abs/10.1021/es970547m" target="_blank">Genin et al. 1998</a>
Green Rust (CO32-)	Hydroxides and Oxides containing hydroxyl	S	2	78	0.47		0.42				3<sub>(3)</sub>	Lor	<a href="http://pubs.acs.org/doi/abs/10.1021/es970547m" target="_blank">Genin et al. 1998</a>
Lepidocrocite		S	3	5	0.43		0.14		44.7			xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Ferrihydrite		S	3	5	0.5		-0.1		42.5			xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Lepidocrocite		S	3	5	0.44		0.13		45.2			xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Ferrihydrite		S	3	5	0.49		-0.12		42			xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Absorbed Fe(II)		S	2	5	1.2		2.6					xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Lepidocrocite		S	3	5	0.4		0.09		45			xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Ferrihydrite		S	3	5	0.54		-0.08		44.7			xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Absorbed Fe(II)		S	2	5	1.35		2.38					xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Lepidocrocite		S	3	5	0.39		0.07		46.1			xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Ferrihydrite		S	3	5	0.55		-0.08		41.1			xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Absorbed Fe(II)		S	2	5	1.25		2.58					xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Lepidocrocite		S	3	5	0.46		0.12		44.5			xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Ferrihydrite		S	3	5	0.49		-0.14		42.2			xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Lepidocrocite		S	3	5	0.44		0.14		45.2			xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Ferrihydrite		S	3	5	0.48		-0.12		42.7			xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Absorbed Fe(II)		S	2	5	1.15		2.37					xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Ferrihydrite		S	3	5	0.46		-0.03		48.4			xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Ferrihydrite		S	3	5	0.45		-0.02		48.3			xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Goethite		S	3	5	0.48		-0.14		50.3			xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Ferrihydrite		S	3	5	0.45		0		48.2			xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Lepidocrocite		S	3	5	0.51		0.01		46.3			xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Goethite		S	3	5	0.47		-0.15		50			xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Ferrihydrite		S	3	5	0.46		-0.03		46.8			xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Ferrihydrite		S	3	5	0.47		0		47.1			xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Absorbed Fe(II)		S	2	5	1.36		2.7					xVBF	<a href="https://pubs.acs.org/doi/abs/10.1021/acs.est.7b01495" target="_blank">ThomasArrigo et al. 2017</a>
Mineral sample		B	3	77	0.48		0.83					VBF	<a href="https://www.sciencedirect.com/science/article/pii/S0012821X16301091?via%3Dihub" target="_blank">Gauger et al. 2016</a>
Mineral sample		B	3	5	0.486		-0.005		46.1			xVBF	<a href="https://www.sciencedirect.com/science/article/pii/S0012821X16301091?via%3Dihub" target="_blank">Gauger et al. 2016</a>
Mineral sample		B	3	77	0.478		0.853					VBF	<a href="https://www.sciencedirect.com/science/article/pii/S0012821X16301091?via%3Dihub" target="_blank">Gauger et al. 2016</a>
Mineral sample		B	3	5	0.488		0.007		45.7			xVBF	<a href="https://www.sciencedirect.com/science/article/pii/S0012821X16301091?via%3Dihub" target="_blank">Gauger et al. 2016</a>
Mineral sample		B	3	77	0.484		0.816					VBF	<a href="https://www.sciencedirect.com/science/article/pii/S0012821X16301091?via%3Dihub" target="_blank">Gauger et al. 2016</a>
Mineral sample		B	3	5	0.488		-0.001		45.8			xVBF	<a href="https://www.sciencedirect.com/science/article/pii/S0012821X16301091?via%3Dihub" target="_blank">Gauger et al. 2016</a>
Mineral sample		B	3	77	0.481		0.858					VBF	<a href="https://www.sciencedirect.com/science/article/pii/S0012821X16301091?via%3Dihub" target="_blank">Gauger et al. 2016</a>
Mineral sample		B	3	5	0.481		0.71					xVBF	<a href="https://www.sciencedirect.com/science/article/pii/S0012821X16301091?via%3Dihub" target="_blank">Gauger et al. 2016</a>
Mineral sample		B	3	5	0.49		0.002		44.3			xVBF	<a href="https://www.sciencedirect.com/science/article/pii/S0012821X16301091?via%3Dihub" target="_blank">Gauger et al. 2016</a>
Mineral sample		B	3	5	0.499		0.135		18.2			xVBF	<a href="https://www.sciencedirect.com/science/article/pii/S0012821X16301091?via%3Dihub" target="_blank">Gauger et al. 2016</a>
Mineral sample		B	3	77	0.485		0.791					VBF	<a href="https://www.sciencedirect.com/science/article/pii/S0012821X16301091?via%3Dihub" target="_blank">Gauger et al. 2016</a>
Mineral sample		B	3	5	0.487		0.018		44.6			xVBF	<a href="https://www.sciencedirect.com/science/article/pii/S0012821X16301091?via%3Dihub" target="_blank">Gauger et al. 2016</a>
Mineral sample		B	3	5	0.464		0		21.7			xVBF	<a href="https://www.sciencedirect.com/science/article/pii/S0012821X16301091?via%3Dihub" target="_blank">Gauger et al. 2016</a>
Mineral sample		B	3	77	0.481		0.861					VBF	<a href="https://www.sciencedirect.com/science/article/pii/S0012821X16301091?via%3Dihub" target="_blank">Gauger et al. 2016</a>
Mineral sample		B	3	5	0.489		-0.042		43.9			xVBF	<a href="https://www.sciencedirect.com/science/article/pii/S0012821X16301091?via%3Dihub" target="_blank">Gauger et al. 2016</a>
Mineral sample		B	3	5	0.531		-0.192		21.8			xVBF	<a href="https://www.sciencedirect.com/science/article/pii/S0012821X16301091?via%3Dihub" target="_blank">Gauger et al. 2016</a>
Hematite	Simple Oxides	S		295	0.37		-0.2		51.8		1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Hematite	Simple Oxides	S		4.2			0.41		54.2		1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Hematite	Simple Oxides	S		4.2			-0.2		53.5		1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Maghemite	Multiple Oxides	S		295	0.23		0.02		50		1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Maghemite	Multiple Oxides	S		295	0.35		0.02		50		2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Maghemite	Multiple Oxides	S		4.2			0.02		52		1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Maghemite	Multiple Oxides	S		4.2			0.02		53		2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Goethite	Hydroxides and Oxides containing hydroxyl	S	3	295	0.37		0.26		38		1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Goethite	Hydroxides and Oxides containing hydroxyl	S	3	4.2			-0.25		50.6		1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Akageneite	Hydroxides and Oxides containing hydroxyl	S	3	295	0.38		0.55				1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Akageneite	Hydroxides and Oxides containing hydroxyl	S	3	295	0.37		0.95				2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Akageneite	Hydroxides and Oxides containing hydroxyl	S	3	4.2			-0.81		47.3		1<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Akageneite	Hydroxides and Oxides containing hydroxyl	S	3	4.2			-0.24		47.8		2<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Akageneite	Hydroxides and Oxides containing hydroxyl	S	3	4.2			-0.02		48.9		3<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	S	3	295	0.37		0.53				1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	S	3	4.2			0.02		45.8		1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Feroxyhyte	Hydroxides and Oxides containing hydroxyl	S	3	295	0.37		-0.06		41		1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Feroxyhyte	Hydroxides and Oxides containing hydroxyl	S	3	4.2			0		53		1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Feroxyhyte	Hydroxides and Oxides containing hydroxyl	S	3	4.2			0		52		2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Ferrihydrite	Simple Oxides	S	3	295	0.35		0.62				1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Ferrihydrite	Simple Oxides	S	3	295	0.35		0.78				2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Ferrihydrite	Simple Oxides	S	3	4.2			-0.07		50		1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Ferrihydrite	Simple Oxides	S	3	4.2			-0.02		47		2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Bernalite	Hydroxides and Oxides containing hydroxyl	S	3	295	0.38		0.01		41.5		1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Bernalite	Hydroxides and Oxides containing hydroxyl	S	3	4.2			0.01		56.2		1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00207766" target="_blank">Murad E. 1996</a>
Magnetite	Multiple Oxides	E		298	0.25	0.02	0		49.3	0.3	1<sub>(2)</sub>	Unkn	<a href="http://aip.scitation.org/doi/abs/10.1063/1.1657696" target="_blank">Evans B.J. and Hafner S.S. 1969</a>
Magnetite	Multiple Oxides	E		77	0.44	0.01	0		51.4	0.2	1<sub>(2)</sub>	Unkn	<a href="http://aip.scitation.org/doi/abs/10.1063/1.1657696" target="_blank">Evans B.J. and Hafner S.S. 1969</a>
Magnetite	Multiple Oxides	E		4.2	0.42	0.02	-0.06		51.6	0.2	1<sub>(2)</sub>	Unkn	<a href="http://aip.scitation.org/doi/abs/10.1063/1.1657696" target="_blank">Evans B.J. and Hafner S.S. 1969</a>
Magnetite	Multiple Oxides	E		298	0.65	0.02	0		46	0.1	2<sub>(2)</sub>	Unkn	<a href="http://aip.scitation.org/doi/abs/10.1063/1.1657696" target="_blank">Evans B.J. and Hafner S.S. 1969</a>
Magnetite	Multiple Oxides	E		77	0.94	0.04	-0.76		49.9	0.3	2<sub>(2)</sub>	Unkn	<a href="http://aip.scitation.org/doi/abs/10.1063/1.1657696" target="_blank">Evans B.J. and Hafner S.S. 1969</a>
Magnetite	Multiple Oxides	E		4.2	0.99	0.03	-0.89		51	0.3	2<sub>(2)</sub>	Unkn	<a href="http://aip.scitation.org/doi/abs/10.1063/1.1657696" target="_blank">Evans B.J. and Hafner S.S. 1969</a>
Magnetite	Multiple Oxides	S		298	0.27	0.03	0		49.1	0.1	1<sub>(2)</sub>	Unkn	<a href="http://aip.scitation.org/doi/abs/10.1063/1.1657696" target="_blank">Evans B.J. and Hafner S.S. 1969</a>
Magnetite	Multiple Oxides	S		298	0.67	0.03	0		46	0.1	2<sub>(2)</sub>	Unkn	<a href="http://aip.scitation.org/doi/abs/10.1063/1.1657696" target="_blank">Evans B.J. and Hafner S.S. 1969</a>
Magnetite	Multiple Oxides	S		298	0.23	0.03	0		49	0.3	1<sub>(2)</sub>	Unkn	<a href="http://aip.scitation.org/doi/abs/10.1063/1.1657696" target="_blank">Evans B.J. and Hafner S.S. 1969</a>
